post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Formato,attribute_data:Formato,"attribute:Formato de venta:","attribute_data:Formato de venta:",attribute:pa_colores,attribute_data:pa_colores,attribute:pa_formato-de-venta,attribute_data:pa_formato-de-venta,attribute:pa_medida,attribute_data:pa_medida,attribute:pa_medidas,attribute_data:pa_medidas,attribute:pa_presentacion,attribute_data:pa_presentacion,attribute:pa_presentaciones,attribute_data:pa_presentaciones,attribute:pa_tallas,attribute_data:pa_tallas
"Llave de 3 pasos rotacion 360°- Cranberry",llave-de-3-pasos-rotacion-360-cranberry,,2323,"Es un dispositivo médico desechable y estéril. Permite controlar distintas soluciones por una misma vía endovenosa. La llave cuenta con un cuerpo transparente de policarbonato y una llave azul con posibilidad de giro en 360°, con 3 vías cada una con movimiento axial y radial.",,private,,0,"2024-03-25 17:48:18",2,open,AALLAV3P,,,no,no,10.000000,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/AALLAV3P.jpg ! alt :  ! title : AALLAV3P ! desc :  ! caption :  | https://www.farmanostica.cl/wp-content/uploads/2024/03/AALLAV3P1.jpg ! alt :  ! title : AALLAV3P1 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/llave-de-3-pasos-rotacion-360-cranberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos > Equipos de infusión y jeringas|Insumos Médicos",,,,,"Caja x 50 Unidades",0|1|0,,,,,,,,,,,,,,
"Aposito de Colágeno con plata - ColActive Plus AG",aposito-de-colageno-con-plata-colactive-plus-ag,,2470,"Apósito cicatrizante de fácil uso para curar escaras, úlceras varicosas o venosas, úlceras por presión y en general todo tipo de heridas complejas. Ayuda a regenerar la piel mientras la mantiene libre infecciones.",Unidad,private,,0,"2024-03-31 15:44:03",2,open,CV-5551440,,,no,no,20.000000,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-55511.webp ! alt :  ! title : CV-55511 ! desc :  ! caption :  | https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-55511.jpg ! alt :  ! title : CV-55511 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/aposito-de-colageno-con-plata-colactive-plus-ag/,0,,,,,,,,,,,,,simple,,"Insumos Médicos > Apósitos y Gasas|Insumos Médicos",,,,,"Caja x 10 Unidades",1|1|0,,,,,"10x10 cm",0|1|0,,,,,,,,
"Aposito espuma silicona sacra - CovaWound",aposito-espuma-silicona-sacra-covawound,,2471,"El apósito de espuma de silicona suave autoadherente con bordes CovaWound™ Silicone es un apósito absorbente y atraumático que consisten de un adhesivo de silicona suave que no se adherirá a la superficie de la herida ni ocasionará desprendimiento epidérmico o dolor al retirarlo. El centro del apósito consta de una espuma de poliuretano y una capa no tejida para contener el exudado y evitar el lecho de la herida se seque y que la piel circundante se macere. La superficie exterior del producto es una membrana permeable al vapor que actúa como barrera contra líquidos y microorganismos.

¿CUANDO LO USO?

El apósito CovaWound™ Silicone está indicado para el tratamiento de heridas exudativas de moderadas a intensas. Heridas como úlceras en las piernas o en el pie, úlceras por presión, heridas traumáticas y quirúrgicas y quemaduras superficiales y parcialmente profundas.",Unidad,private,,0,"2024-03-31 15:44:03",2,open,CV-1051517,,,no,no,20.000000,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-105.png ! alt :  ! title : CV-105 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/aposito-espuma-silicona-sacra-covawound/,0,,,,,,,,,,,,,simple,,"Insumos Médicos > Apósitos y Gasas|Insumos Médicos",,,,,Unidad,1|1|0,,,,,"15x17 cm (Sacra)",0|1|0,,,,,,,,
"Aposito espuma silicona talon - CovaWound",aposito-espuma-silicona-talon-covawound,,2472,"El apósito de espuma de silicona suave autoadherente con bordes CovaWound™ Silicone es un apósito absorbente y atraumático que consisten de un adhesivo de silicona suave que no se adherirá a la superficie de la herida ni ocasionará desprendimiento epidérmico o dolor al retirarlo. El centro del apósito consta de una espuma de poliuretano y una capa no tejida para contener el exudado y evitar el lecho de la herida se seque y que la piel circundante se macere. La superficie exterior del producto es una membrana permeable al vapor que actúa como barrera contra líquidos y microorganismos.

¿CUANDO LO USO?

El apósito CovaWound™ Silicone está indicado para el tratamiento de heridas exudativas de moderadas a intensas. Heridas como úlceras en las piernas o en el pie, úlceras por presión, heridas traumáticas y quirúrgicas y quemaduras superficiales y parcialmente profundas.",Unidad,private,,0,"2024-03-31 15:44:03",2,open,CV-1012026,,,no,no,20.000000,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-10120261.webp ! alt :  ! title : CV-10120261 ! desc :  ! caption :  | https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-1012026.webp ! alt :  ! title : CV-1012026 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/aposito-espuma-silicona-talon-covawound/,0,,,,,,,,,,,,,simple,,"Insumos Médicos > Apósitos y Gasas|Insumos Médicos",,,,,"Caja x 10 Unidades",1|1|0,,,,,"20x26 cm (Talon)",0|1|0,,,,,,,,
"Apósito Tull De Silicona - Gentiltac",aposito-tull-de-silicona-gentiltac,,2473,"Interfaz de silicona suave que brinda protección del lecho de la herida, a los efectos de la fricción y las fuerzas de corte. La capa de silicona crea un sello alrededor del borde de la herida, minimizando el riesgo de maceración.
Puede ser utilizado en una amplia gama de heridas, tanto agudas como crónicas, abrasiones de la piel, incisiones quirúrgicas, quemaduras de segundo grado, laceraciones,, injertos y en tratamiento TPN; heridas crónicas – diabéticas, úlceras venosas (adecuados para su uso bajo compresión),  úlceras por presión, etc.",Unidad,private,,0,"2024-03-31 15:44:03",2,open,GN-440304,,,no,no,20.000000,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/GN-440304.png ! alt :  ! title : GN-440304 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/aposito-tull-de-silicona-gentiltac/,0,,,,,,,,,,,,,simple,,"Insumos Médicos > Apósitos y Gasas|Insumos Médicos",,,,,"Caja x 10 Unidades",1|1|0,,,,,"7.5x10 cm",0|1|0,,,,,,,,
"Apósito Superabsorbente - CovaWound",aposito-superabsorbente-covawound,,2476,"El apósito de suave espuma de poliuretano (foam) es de acción capilar, lo que permite una excelente absorción del exudado y líquidos de la herida.",Unidad,private,,0,"2024-03-31 15:44:04",2,open,CV-4001020,,,no,no,20.000000,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-4001.webp ! alt :  ! title : CV-4001 ! desc :  ! caption :  | https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-400.webp ! alt :  ! title : CV-400 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/aposito-superabsorbente-covawound/,0,,,,,,,,,,,,,simple,,"Insumos Médicos > Apósitos y Gasas|Insumos Médicos",,,,,"Caja x 10 Unidades",1|1|0,,,,,"10x20 cm",0|1|0,,,,,,,,
"Apósito De Alginato - CovaWound",aposito-de-alginato-covawound,,2477,"Apósito primario para heridas fabricado con la sal de calcio obtenida del ácido algínico, rico en ácido manurónico. Se presenta como un apósito plano no tejido para aplicar en heridas abiertas, y en forma de tiras (rope) para rellenar heridas profundas. Cuando entra en contacto con suero, con la exudación de una herida o con soluciones que contienen iones de sodio, el alginato de calcio insoluble se convierte, parcialmente, en sal de sodio soluble y rápidamente, se produce un gel suave, hidrofílico y permeable a gases que se amolda a los bordes de la herida y provee un microambiente que facilita la cicatrización.",Unidad,pending,,0,"2024-03-31 15:44:04",2,open,CV-3001010,,,no,no,20.000000,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-30010101.webp ! alt :  ! title : CV-30010101 ! desc :  ! caption :  | https://www.farmanostica.cl/wp-content/uploads/2024/03/CV-3001010.webp ! alt :  ! title : CV-3001010 ! desc :  ! caption : ",,https://www.farmanostica.cl/?post_type=product&p=2477,0,,,,,,,,,1,90,,,simple,,"Insumos Médicos > Apósitos y Gasas|Insumos Médicos",,,,,"Caja x 10 Unidades",1|1|0,,,,,"10x10 cm",0|1|0,,,,,,,,
"Apósito De Alginato Con Plata - CovaWound",aposito-de-alginato-con-plata-covawound,,2478,"Apósitos suaves y cómodos para heridas compuestos de fibras de alginato de calcio impregnadas de plata.
Se presenta como una almohadilla plana no tejida para su aplicación en heridas abiertas, así como una cuerda para el empaquetamiento de cavidades heridas.",Unidad,private,,0,"2024-03-31 15:44:04",2,open,V-3101010,,,no,no,20.000000,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/V-310.webp ! alt :  ! title : V-310 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/aposito-de-alginato-con-plata-covawound/,0,,,,,,,,,,,,,simple,,"Insumos Médicos > Apósitos y Gasas|Insumos Médicos",,,,,"Caja x 10 Unidades",1|1|0,,,,,"10x10 cm",0|1|0,,,,,,,,
"Molicare Skin Foam Espuma limpiadora de la piel 400ml",molicare-skin-foam-espuma-limpiadora-de-la-piel-400ml,,2772,,,publish,,0,"2024-05-15 12:59:38",2,open,9950810,,,no,no,10,25990,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/05/3144064.jpg ! alt :  ! title : 3144064 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/molicare-skin-foam-espuma-limpiadora-de-la-piel-400ml/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,Unidad,1|1|0,,,,,,,,,"400 ml",0|1|0,,,,
"Fijador citologico spray 100 cc",fijador-citologico-spray-100-cc,,2773,,,publish,,0,"2024-05-15 12:59:38",2,open,CI100CC,,,no,no,10,12990,9990,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/05/fijador-citologico-ccg-spray-100ml.jpg ! alt :  ! title : fijador-citologico-ccg-spray-100ml ! desc :  ! caption : ",,https://www.farmanostica.cl/product/fijador-citologico-spray-100-cc/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,Unidad,1|1|0,,,,,,,,,"100 cc",0|1|0,,,,
"Glucometro Gocheck 2 - Nipro",gocheck-pro-2-nipro,,2972,"<strong>Glucómetro Nipro GoCheck2</strong>

El <strong>Glucómetro Nipro GoCheck2</strong> es una herramienta compacta y portátil diseñada para el monitoreo preciso y conveniente de los niveles de glucosa en sangre en cualquier lugar. Su diseño intuitivo y sin necesidad de codificación permite obtener lecturas rápidas y precisas en tan solo 5 segundos, optimizando el tiempo de control y proporcionando resultados fiables en cada uso.

Este dispositivo utiliza un método de lectura electroquímico basado en la enzima GDH-FAD, con un rango de medición que abarca desde 10 hasta 600 mg/dl, ideal para adaptarse a las diferentes necesidades de los usuarios. Requiere una muestra mínima de 0.5 microlitros de sangre, lo que hace que el proceso sea casi indoloro y adecuado para todo tipo de pacientes, desde neonatos hasta personas con condiciones especiales como anemia o mujeres embarazadas. Además, su capacidad de lectura de hematocritos entre el 10% y el 70% garantiza resultados precisos incluso en situaciones complejas.

El Nipro GoCheck2 ofrece versatilidad en el tipo de muestra, ya que puede medir sangre entera fresca de tipo neonatal, capilar, venosa o arterial. Incluye un práctico eyector de tira que permite desecharla sin contacto directo, mejorando la higiene y facilitando su uso. Para una mayor seguridad, este glucómetro incorpora alertas audibles que avisan cuando los niveles de glucosa están fuera de los rangos deseados, permitiendo tomar acción inmediata.

Con certificaciones internacionales como FDA y CE, el Glucómetro Nipro GoCheck2 es una solución confiable para el monitoreo continuo de la glicemia, proporcionando la precisión y seguridad necesarias para una gestión eficaz de la salud.",,publish,,0,"2024-05-28 13:19:29",2,open,,,,no,no,,14990,12990,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/05/420027hl.png ! alt : GLUCOMETRO ! title : 420027hl ! desc : GLUCOMETRO ! caption : GLUCOMETRO",,https://www.farmanostica.cl/product/gocheck-pro-2-nipro/,2,,"Glucómetro Nipro GoCheck2",,,,,"Glucómetro Nipro GoCheck2: mide glucosa rápida y fácilmente, sin codificación, ideal para todo tipo pacientes. ¡Compra la tuya Aqui!",64,2,60,,,simple,,"Cuidado personal e higiene",,,,,,,,,,,,,,,,,,,,
"Higienix Alcohol IPA PAD - Difem",higienix-alcohol-ipa-pad-difem,,3012,,,publish,,1,"2024-06-04 14:50:02",2,open,2400864,,,no,no,10,,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,,,https://www.farmanostica.cl/product/higienix-alcohol-ipa-pad-difem/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Caja de 100 unidades",0|1|0,,,,
"Higienix Paño Multiproposito - Difem",higienix-pano-multiproposito-difem,,3013,,,publish,,1,"2024-06-04 14:50:02",2,open,2400885,,,no,no,10,5360,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,,,https://www.farmanostica.cl/product/higienix-pano-multiproposito-difem/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Caja de 24 unidades",0|1|0,,,,
"Toallitas antisépticas con alcohol al 70% - Cranberry",toallitas-antisepticas-con-alcohol-al-70-cranberry,,3014,"Las toallitas impregnadas en alcohol son un insumo desechable. Están selladas de manera individual para conservar el alcohol, siendo su envase de muy fácil manipulación. Poseen una variedad de funciones que van desde la antisepsia de la piel, procedimiento realizado previo a cada punción, desinfección de accesos en catéteres venosos y arteriales, desinfección de frascos y ampollas del área médica previo a su administración y desinfección de todo tipo de tubuladuras del área de la salud.",,publish,,1,"2024-06-04 14:50:03",2,open,AATOAALC,,,no,no,10,1780,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/toallitas-antisepticas-con-alcohol-al-70_1.jpg ! alt :  ! title : toallitas-antisepticas-con-alcohol-al-70_1 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/toallitas-antisepticas-con-alcohol-al-70-cranberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Caja de 100 unidades",0|1|0,,,,
